city,state,pop,lat,lon
Hillsboro,OR,"107,730",45.53,-122.9
Jurupa Valley,CA,"107,321",34.0,-117.4
Centennial,CO,"106,883",39.59,-104.8
Edison,NJ,"106,836",40.5,-74.35
Boulder,CO,"105,898",40.02,-105.2
Dearborn,MI,"105,811",42.31,-83.21
Edinburg,TX,"105,799",26.32,-98.16
Sandy Springs,GA,"105,793",33.93,-84.37
Green Bay,WI,"105,744",44.52,-87.99
West Covina,CA,"105,617",34.06,-117.9
Brockton,MA,"104,890",42.08,-71.02
St. George,UT,"104,578",37.08,-113.5
Bend,OR,"104,557",44.06,-121.3
Renton,WA,"104,491",47.48,-122.1
Lee's Summit,MO,"104,184",38.92,-94.38
Fishers,IN,"104,094",39.96,-85.97
El Monte,CA,"103,794",34.07,-118.0
South Bend,IN,"103,395",41.68,-86.27
Rialto,CA,"103,391",34.12,-117.3
Woodbridge,NJ,"103,194",40.56,-74.29
El Cajon,CA,"102,991",32.8,-116.9
Inglewood,CA,"102,865",33.96,-118.3
Burbank,CA,"102,755",34.19,-118.3
Wichita Falls,TX,"102,691",33.91,-98.53
Vacaville,CA,"102,526",38.36,-121.9
Carmel,IN,"102,296",39.97,-86.15
Palm Coast,FL,"102,113",29.54,-81.24
Fayetteville,AR,"101,680",36.07,-94.17
Quincy,MA,"101,597",42.26,-71.01
San Mateo,CA,"101,327",37.56,-122.3
Chico,CA,"101,301",39.76,-121.8
Lynn,MA,"101,241",42.47,-70.96
Albany,NY,"101,228",42.67,-73.8
Yuma,AZ,"100,858",32.52,-114.5
New Bedford,MA,"100,695",41.66,-70.94
Suffolk,VA,"100,659",36.7,-76.63
Hesperia,CA,"100,633",34.4,-117.3
Davenport,IA,"100,354",41.56,-90.6
